position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
597,1032567839032344597,Rrthhh,1,9940,30,2,2678,"ᛗ","ᛗ"
598,1042066454289338379,pihurana95,1,9936,32,1,3879,"ᚦ","ᛃ"
599,711490634149789758,himanshu2582,1,9928,31,1,3358,"ᚨ","ᛇ"
600,969998981528715285,"Sonakar🤞melon.ooo",1,9914,13,1,8035,"ᛞ","ᛉ"
601,1121339369849106433,"""melon.ooo airdrop""",1,9906,18,1,6923,"ᛗ","ᚢ"
602,771243655150174228,"parikshit singh | Web3Go",1,9900,17,1,5921,"ᛗ","ᛞ"
603,986187855976075344,"avi crypto",1,9890,24,1,3515,"ᚺ","ᚺ"
604,1201540191043723334,Opn,1,9878,23,2,3308,"ᚢ","ᚦ"
605,952263077259276382,yoh,1,9868,32,1,2678,"ᛒ","ᛗ"
606,839177582876295178,"vishal Patel",1,9860,25,1,3813,"ᚺ","ᚺ"
607,801902410959290429,marcus,1,9851,34,1,2472,"ᚺ","ᚺ"
608,1219330774394994810,kajal7654,1,9850,30,1,4687,"ᚾ","ᛖ"
609,828674853410177055,Sayan8348,1,9845,22,1,4017,"ᛏ","ᚢ"
610,1202923487564537866,Realm11,1,9833,24,2,3515,"ᛖ","ᛇ"
611,904308715430219817,"Rewardzone2⛓ SubQuery",1,9832,9,1,6923,"ᚢ","ᚢ"
612,1155902345658519583,akapa,1,9831,23,2,3879,"ᚺ","ᛇ"
613,753942425252134913,mithun4142,1,9828,10,1,7894,"ᛚ","ᛒ"
614,1101376996912660500,cscusinar,1,9820,22,1,5696,"ᚠ","ᛊ"
615,1133037971717771314,Bittu54,1,9819,10,1,8035,"ᛇ","ᛉ"
616,1000654369131331604,Allu,1,9814,5,1,8823,"ᚦ","ᚦ"
617,1176877324000579614,Monster,1,9788,20,1,4245,"ᚱ","ᚱ"
618,844159598993997835,Yogesh,1,9782,34,1,2678,"ᛗ","ᛗ"
619,867085261926170664,ddkkmm1,1,9780,34,1,2678,"ᛚ","ᛗ"
620,906602930625478778,masumrana790570,1,9749,30,1,4687,"ᚱ","ᚱ"
621,1074282526543196260,"shakirsultan | Web3Go",1,9723,16,1,6923,"ᚷ","ᚢ"
622,424198632095481859,"Gautam ⛓ SubQuery",1,9719,10,1,8035,"ᛒ","ᛉ"
623,673769548746457106,Diphere,1,9714,23,1,5696,"ᚺ","ᛊ"
624,1073178743960514680,Lizzz,1,9678,33,1,3879,"ᚲ","ᛃ"
625,982559513704022046,addictionbdinfo1927,1,9676,31,2,3214,"ᚺ","ᚺ"
626,1092852094995812412,Kartik,1,9676,13,1,7894,"ᛈ","ᛒ"
627,896114176437649439,shahid#1188,1,9675,14,1,7894,"ᛒ","ᛒ"
628,1164448634029490211,razia,1,9654,34,1,2083,"ᚺ","ᚷ"
629,965624295852232714,xin_chan_,1,9651,34,1,4017,"ᚷ","ᚢ"
630,1199571087088943216,Vinod,1,9646,32,1,3358,"ᛈ","ᛇ"
631,991977232564224051,kumarbhai,1,9623,8,1,8035,"ᛒ","ᛉ"
632,952524500170326057,alibabu786,1,9621,15,1,6923,"ᛒ","ᚢ"
633,1122221937603661884,"I T A C H I  __  00",1,9617,4,1,8823,"ᚠ","ᚦ"
634,937313105338306630,rupali3520,1,9609,19,1,5696,"ᛉ","ᛊ"
635,1204515383785300070,"Saurav Shakya",1,9606,33,1,4687,"ᛇ","ᛖ"
636,869429304935731211,"vasanth chavan destiny punks",1,9605,14,1,6923,"ᛉ","ᚢ"
637,793526475261345792,anbu2225,1,9594,32,1,3308,"ᛉ","ᚾ"
638,1047220260866097255,"༒𝘼bhi0770༒#3264",1,9578,31,1,4017,"ᛟ","ᛖ"
639,1135595474955546779,Chotu,1,9574,23,1,5696,"ᛏ","ᛊ"
640,1194228139686109207,vimal,1,9573,19,1,4017,"ᛜ","ᚢ"
641,849664636172107828,shubhamyt00,1,9564,26,2,3214,"ᛃ","ᛃ"
642,827894658272722944,imrantaher5590,1,9562,17,2,4017,"ᚺ","ᚺ"
643,446821805735411714,Balli,1,9551,27,1,4591,"ᛁ","ᚦ"
644,923887751374467073,Yash,1,9551,27,1,3813,"ᛏ","ᚺ"
645,1065141063637016636,momin,1,9548,15,1,6716,"ᛒ","ᚱ"
646,929372098428805250,"ꜱᴏᴘᴇᴇ",1,9533,19,1,4017,"ᛞ","ᚢ"
647,882534862119133224,Eshan,1,9518,12,1,7894,"ᛈ","ᛒ"
648,950431728676257822,hoonss,1,9518,13,1,5696,"ᛈ","ᛊ"
649,846160163756965908,Alexandery,1,9514,17,1,6923,"ᛗ","ᚢ"
650,1092789870184902719,"seasaw || reform😍",1,9498,31,1,4245,"ᚲ","ᚱ"
651,1024724590351626280,Mamamahi,1,9494,31,1,3879,"ᛉ","ᛃ"
